word_ipa,subword_ipas,audio_file,vowel_ipas,word
ad͡ʒuːze,"a,d͡ʒuː,ze",acuze.wav,"a,u,e",acuze
ad͡ʒz,ad͡ʒz,acz.wav,a,acz
ad,ad,ad.wav,a,ad
aːdaːbɯmuaːʃeɾet,"aː,daː,bɯ,mu,aː,ʃe,ɾet",adabimuaseret.wav,"a,a,ɯ,u,a,e,e",adabımuaşeret
adale,"a,da,le",adale.wav,"a,a,e",adale
adaːlet,"a,daː,let",adalet.wav,"a,a,e",adalet
aːdaːp,"aː,daːp",adap.wav,"a,a",adap
adaptasjon,"a,dap,tas,jon",adaptasyon.wav,"a,a,a,o",adaptasyon
adaptœɾ,"a,dap,tœɾ",adaptor.wav,"a,a,œ",adaptör
aːddetme,"aːd,det,me",addetme.wav,"a,e,e",addetme
adem,"a,dem",adem.wav,"a,e",adem
adem,"a,dem",adem.wav,"a,e",âdem
ademimɛɾcezijet,"a,de,mi,mɛɾ,ce,zi,jet",ademimerkeziyet.wav,"a,e,i,ɛ,e,i,e",ademimerkeziyet
adese,"a,de,se",adese.wav,"a,e,e",adese
adet,"a,det",adet.wav,"a,e",adet
adet,"a,det",adet.wav,"a,e",âdet
aːdetaː,"aː,de,taː",adeta.wav,"a,e,a",adeta
aːdiː,"aː,diː",adi.wav,"a,i",adi
aːdiː,"aː,diː",adi.wav,"a,i",adı
adiːl,"a,diːl",adil.wav,"a,i",adil
aːdilɑːne,"aː,di,lɑː,ne",adilane.wav,"a,i,ɑ,e",adilane
adliː,"ad,liː",adli.wav,"a,i",adli
aeɾobik,"a,e,ɾo,bik",aerobik.wav,"a,e,o,i",aerobik
aeɾodinamik,"a,e,ɾo,di,na,mik",aerodinamik.wav,"a,e,o,i,a,i",aerodinamik
aːfaːk,"aː,faːk",afak.wav,"a,a",afak
afakan,"a,fa,kan",afakan.wav,"a,a,a",afakan
aːfaːciː,"aː,faː,ciː",afaki.wav,"a,a,i",afaki
aːfat,"aː,fat",afat.wav,"a,a",afat
afazi,"a,fa,zi",afazi.wav,"a,a,i",afazi
aːfeɾin,"aː,fe,ɾin",aferin.wav,"a,e,i",aferin
aːfet,"aː,fet",afet.wav,"a,e",afet
aːfetidevɾaːn,"aː,fe,ti,dev,ɾaːn",afetidevran.wav,"a,e,i,e,a",afetidevran
aːfetzede,"aː,fet,ze,de",afetzede.wav,"a,e,e,e",afetzede
affetmek,"af,fet,mek",affetmek.wav,"a,e,e",affetmek
afiːf,"a,fiːf",afif.wav,"a,i",afif
afiːfe,"a,fiː,fe",afife.wav,"a,i,e",afife
afili,"a,fi,li",afili.wav,"a,i,i",afili
afiʃe,"a,fi,ʃe",afise.wav,"a,i,e",afişe
aːfitaːb,"aː,fi,taːb",afitab.wav,"a,i,a",afitab
aːfijet,"aː,fi,jet",afiyet.wav,"a,i,e",afiyet
afoɾizma,"a,fo,ɾiz,ma",aforizma.wav,"a,o,i,a",aforizma
afoɾoz,"a,fo,ɾoz",aforoz.wav,"a,o,o",aforoz
afɾodizjak,"af,ɾo,diz,jak",afrodizyak.wav,"a,o,i,a",afrodizyak
aː,aː,ag.wav,a,ağ
aːa,"a,ːa",aga.wav,"a,a",ağa
aːɡɑːh,"aː,ɡɑːh",agah.wav,"a,ɑ",agâh
aːda,"aː,da",agda.wav,"a,a",ağda
aɯl,"a,ɯl",agil.wav,"a,ɯ",ağıl
aːɫamak,"aː,ɫa,mak",aglamak.wav,"a,a,a",ağlamak
aɡnostik,"aɡ,nos,tik",agnostik.wav,"a,o,i",agnostik
aɡoɾa,"a,ɡo,ɾa",agora.wav,"a,o,a",agora
aɡoɾafobi,"a,ɡo,ɾa,fo,bi",agorafobi.wav,"a,o,a,o,i",agorafobi
aɡɾesif,"aɡ,ɾe,sif",agresif.wav,"a,e,i",agresif
aːɾɯ,"aː,ɾɯ",agri.wav,"a,ɯ",ağrı
austos,"a,us,tos",agustos.wav,"a,u,o",ağustos
aːjaːɾ,"aː,jaːɾ",agyar.wav,"a,a",ağyar
aːh,aːh,ah.wav,a,ah
ahaːliː,"a,haː,liː",ahali.wav,"a,a,i",ahali
ahbap,"ah,bap",ahbap.wav,"a,a",ahbap
ahdetmek,"ah,det,mek",ahdetmek.wav,"a,e,e",ahdetmek
aːhenk,"aː,henk",ahenk.wav,"a,e",ahenk
aːhenktaɾ,"aː,henk,taɾ",ahenktar.wav,"a,e,a",ahenktar
aːheste,"aː,hes,te",aheste.wav,"a,e,e",aheste
aːhiɾ,"aː,hiɾ",ahir.wav,"a,i",ahir
aːhiɾet,"aː,hi,ɾet",ahiret.wav,"a,i,e",ahiret
ahit,"a,hit",ahit.wav,"a,i",ahit
aːhize,"aː,hi,ze",ahize.wav,"a,i,e",ahize
ahcɑːm,"ah,cɑːm",ahkam.wav,"a,ɑ",ahkâm
ahlɑk,"ah,lɑk",ahlak.wav,"a,ɑ",ahlak
ahlɑːcɛn,"ah,lɑː,cɛn",ahlaken.wav,"a,ɑ,ɛ",ahlaken
ahlɑːciː,"ah,lɑː,ciː",ahlaki.wav,"a,ɑ,i",ahlaki
ahɾaz,"ah,ɾaz",ahraz.wav,"a,a",ahraz
aːhuː,"aː,huː",ahu.wav,"a,u",ahu
aːhududu,"aː,hu,du,du",ahududu.wav,"a,u,u,u",ahududu
ahvɑl,"ah,vɑl",ahval.wav,"a,ɑ",ahval
aːidat,"a,ːi,dat",aidat.wav,"a,i,a",aidat
aːidijet,"a,ːi,di,jet",aidiyet.wav,"a,i,i,e",aidiyet
aːile,"a,ːi,le",aile.wav,"a,i,e",aile
aːileviː,"a,ːi,le,viː",ailevi.wav,"a,i,e,i",ailevi
aːit,"a,ːit",ait.wav,"a,i",ait
aʒanda,"a,ʒan,da",ajanda.wav,"a,a,a",ajanda
aʒans,"a,ʒans",ajans.wav,"a,a",ajans
aʒitasjon,"a,ʒi,tas,jon",ajitasyon.wav,"a,i,a,o",ajitasyon
akabinde,"a,ka,bin,de",akabinde.wav,"a,a,i,e",akabinde
akademisjɛn,"a,ka,de,mis,jɛn",akademisyen.wav,"a,a,e,i,ɛ",akademisyen
akaːmɛt,"a,kaː,mɛt",akamet.wav,"a,a,ɛ",akamet
aːkɯbɛt,"aː,kɯ,bɛt",akibet.wav,"a,ɯ,ɛ",akıbet
aːciːdɛ,"aː,ciː,dɛ",akide.wav,"a,i,ɛ",akide
aciːk,"a,ciːk",akik.wav,"a,i",akik
aːcil,"aː,cil",akil.wav,"a,i",akil
aːcilɑːne,"aː,ci,lɑː,ne",akilane.wav,"a,i,ɑ,e",akilane
aciːm,"a,ciːm",akim.wav,"a,i",akim
acis,"a,cis",akis.wav,"a,i",akis
acit,"a,cit",akit.wav,"a,i",akit
akliː,"ak,liː",akli.wav,"a,i",akli
akɫɯseliːm,"ak,ɫɯ,se,liːm",akliselim.wav,"a,ɯ,e,i",aklıselim
akoɾdeon,"a,koɾ,de,on",akordeon.wav,"a,o,e,o",akordeon
akoɾt,"a,koɾt",akort.wav,"a,o",akort
akɾabaː,"ak,ɾa,baː",akraba.wav,"a,a,a",akraba
akɾan,"ak,ɾan",akran.wav,"a,a",akran
akɾeditasjon,"ak,ɾe,di,tas,jon",akreditasyon.wav,"a,e,i,a,o",akreditasyon
akɾobasi,"ak,ɾo,ba,si",akrobasi.wav,"a,o,a,i",akrobasi
aksaːm,"ak,saːm",aksam.wav,"a,a",aksam
aksan,"ak,san",aksan.wav,"a,a",aksan
aksesuaɾ,"ak,se,su,aɾ",aksesuar.wav,"a,e,u,a",aksesuar
aksi,"ak,si",aksi.wav,"a,i",aksi
aksisedaː,"ak,si,se,daː",aksiseda.wav,"a,i,e,a",aksiseda
aksijonɛɾ,"ak,si,jo,nɛɾ",aksiyoner.wav,"a,i,o,ɛ",aksiyoner
aksylɑmɛl,"ak,sy,lɑ,mɛl",aksulamel.wav,"a,y,ɑ,ɛ",aksülamel
aktif,"ak,tif",aktif.wav,"a,i",aktif
aktivite,"ak,ti,vi,te",aktivite.wav,"a,i,i,e",aktivite
aktyalite,"ak,ty,a,li,te",aktualite.wav,"a,y,a,i,e",aktüalite
aktyɛl,"ak,ty,ɛl",aktuel.wav,"a,y,ɛ",aktüel
akupunktuɾ,"a,ku,punk,tuɾ",akupunktur.wav,"a,u,u,u",akupunktur
akustik,"a,kus,tik",akustik.wav,"a,u,i",akustik
akvaɾjum,"ak,vaɾ,jum",akvaryum.wav,"a,a,u",akvaryum
aɫa,"a,ɫa",ala.wav,"a,a",ala
aɫa,"a,ɫa",ala.wav,"a,a",âlâ
aɫaboɾa,"a,ɫa,bo,ɾa",alabora.wav,"a,a,o,a",alabora
aɫabɾos,"a,ɫab,ɾos",alabros.wav,"a,a,o",alabros
alɑːimisemaː,"a,lɑ,ːi,mi,se,maː",alaimisema.wav,"a,ɑ,i,i,e,a",alaimisema
alɑːka,"a,lɑː,ka",alaka.wav,"a,ɑ,a",alaka
alɑːkadaɾ,"a,lɑː,ka,daɾ",alakadar.wav,"a,ɑ,a,a",alakadar
alɑkaɾt,"a,lɑ,kaɾt",alakart.wav,"a,ɑ,a",alakart
alɑːmet,"a,lɑː,met",alamet.wav,"a,ɑ,e",alamet
alɑːmetifaːɾika,"a,lɑː,me,ti,faː,ɾi,ka",alametifarika.wav,"a,ɑ,e,i,a,i,a",alametifarika
alɑminyt,"a,lɑ,mi,nyt",alaminut.wav,"a,ɑ,i,y",alaminüt
aɫaɾɡa,"a,ɫaɾ,ɡa",alarga.wav,"a,a,a",alarga
aɫatuɾka,"a,ɫa,tuɾ,ka",alaturka.wav,"a,a,u,a",alaturka
aːlɑːjiʃ,"aː,lɑː,jiʃ",alayis.wav,"a,ɑ,i",alayiş
aɫazɫamak,"a,ɫaz,ɫa,mak",alazlamak.wav,"a,a,a,a",alazlamak
aɫbatɾos,"aɫ,bat,ɾos",albatros.wav,"a,a,o",albatros
aleɡoɾi,"a,le,ɡo,ɾi",alegori.wav,"a,e,o,i",alegori
aleɫad͡ʒele,"a,le,ɫa,d͡ʒe,le",alelacele.wav,"a,e,a,e,e",alelacele
alelɑːde,"a,le,lɑː,de",alelade.wav,"a,e,ɑ,e",alelade
aleleksɛɾ,"a,le,lek,sɛɾ",alelekser.wav,"a,e,e,ɛ",alelekser
aleɫɯtɫak,"a,le,ɫɯt,ɫak",alelitlak.wav,"a,e,ɯ,a",alelıtlak
aleɫusuːːl,"a,le,ɫu,suːːl",alelusul.wav,"a,e,u,u",alelusul
alem,"a,lem",alem.wav,"a,e",alem
alem,"a,lem",alem.wav,"a,e",âlem
alɛmdaɾ,"a,lɛm,daɾ",alemdar.wav,"a,ɛ,a",alemdar
aːːlemʃymuːl,"aːː,lem,ʃy,muːl",alemsumul.wav,"a,e,y,u",âlemşümul
alenɛn,"a,le,nɛn",alenen.wav,"a,e,ɛ",alenen
aleniː,"a,le,niː",aleni.wav,"a,e,i",aleni
alenijet,"a,le,ni,jet",aleniyet.wav,"a,e,i,e",aleniyet
alessabaːh,"a,les,sa,baːh",alessabah.wav,"a,e,a,a",alessabah
alesta,"a,les,ta",alesta.wav,"a,e,a",alesta
aːlet,"aː,let",alet.wav,"a,e",alet
alejhinde,"a,lej,hin,de",aleyhinde.wav,"a,e,i,e",aleyhinde
alejhisselɑːm,"a,lej,his,se,lɑːm",aleyhisselam.wav,"a,e,i,e,ɑ",aleyhisselam
alejhtaːɾ,"a,lejh,taːɾ",aleyhtar.wav,"a,e,a",aleyhtar
alejcymselɑːm,"a,lej,cym,se,lɑːm",aleykumselam.wav,"a,e,y,e,ɑ",aleykümselam
alejnaː,"a,lej,naː",aleyna.wav,"a,e,a",aleyna
aːɫfabe,"aːɫ,fa,be",alfabe.wav,"a,a,e",alfabe
aːliː,"aː,liː",ali.wav,"a,i",ali
aːːliːd͡ʒenap,"aːː,liː,d͡ʒe,nap",alicenap.wav,"a,i,e,a",alicenap
aliːl,"a,liːl",alil.wav,"a,i",alil
aːlim,"aː,lim",alim.wav,"a,i",âlim
alimaɫɫah,"a,li,maɫ,ɫah",alimallah.wav,"a,i,a,a",alimallah
aːlimaːne,"aː,li,maː,ne",alimane.wav,"a,i,a,e",âlimane
alije,"a,li,je",aliye.wav,"a,i,e",aliye
alijjyɫaːlɑː,"a,lij,jy,ɫaː,lɑː",aliyyulala.wav,"a,i,y,a,ɑ",aliyyülâlâ
aːɫcoːl,"aːɫ,coːl",alkol.wav,"a,o",alkol
aɫɫah,"aɫ,ɫah",allah.wav,"a,a",allah
aɫɫaːhuekbɛɾ,"aɫ,ɫaː,hu,ek,bɛɾ",allahuekber.wav,"a,a,u,e,ɛ",allahuekber
aɫɫaːhutaaːlɑː,"aɫ,ɫaː,hu,ta,aː,lɑː",allahutaala.wav,"a,a,u,a,a,ɑ",allahutaala
aɫlɑːme,"aɫ,lɑː,me",allame.wav,"a,ɑ,e",allame
aɫlɑːmɛid͡ʒihaːn,"aɫ,lɑː,mɛ,i,d͡ʒi,haːn",allameicihan.wav,"a,ɑ,ɛ,i,i,a",allameicihan
aɫp,aɫp,alp.wav,a,alp
aɫpaɾsɫan,"aɫ,paɾs,ɫan",alparslan.wav,"a,a,a",alparslan
aɫpeɾɛn,"aɫ,pe,ɾɛn",alperen.wav,"a,e,ɛ",alperen
aːɫtɛɾnatif,"aːɫ,tɛɾ,na,tif",alternatif.wav,"a,ɛ,a,i",alternatif
aɫtmɯʃ,"aɫt,mɯʃ",altmis.wav,"a,ɯ",altmış
aːluːːde,"aː,luːː,de",alude.wav,"a,u,e",alude
alyminjum,"a,ly,min,jum",aluminyum.wav,"a,y,i,u",alüminyum
alyvjon,"a,lyv,jon",aluvyon.wav,"a,y,o",alüvyon
aːɫjans,"aːɫ,jans",alyans.wav,"a,a",alyans
aːmaː,"aː,maː",ama.wav,"a,a",âmâ
aːmaː,"aː,maː",ama.wav,"a,a",ama
aːmaːde,"aː,maː,de",amade.wav,"a,a,e",amade
aːmɑːl,"aː,mɑːl",amal.wav,"a,ɑ",amal
amatœɾ,"a,ma,tœɾ",amator.wav,"a,a,œ",amatör
ambalɑʒ,"am,ba,lɑʒ",ambalaj.wav,"a,a,ɑ",ambalaj
ambale,"am,ba,le",ambale.wav,"a,a,e",ambale
ambaɾɡo,"am,baɾ,ɡo",ambargo.wav,"a,a,o",ambargo
ambɛɾ,"am,bɛɾ",amber.wav,"a,ɛ",amber
ambulɑns,"am,bu,lɑns",ambulans.wav,"a,u,ɑ",ambulans
amd͡ʒazaːde,"am,d͡ʒa,zaː,de",amcazade.wav,"a,a,a,e",amcazade
amɛl,"a,mɛl",amel.wav,"a,ɛ",amel
amele,"a,me,le",amele.wav,"a,e,e",amele
ameliː,"a,me,liː",ameli.wav,"a,e,i",ameli
amelijat,"a,me,li,jat",ameliyat.wav,"a,e,i,a",ameliyat
amelijathaːne,"a,me,li,jat,haː,ne",ameliyathane.wav,"a,e,i,a,a,e",ameliyathane
aːmennaː,"aː,men,naː",amenna.wav,"a,e,a",amenna
aːmɛnty,"aː,mɛn,ty",amentu.wav,"a,ɛ,y",amentü
ameɾika,"a,me,ɾi,ka",amerika.wav,"a,e,i,a",amerika
amfoɾa,"am,fo,ɾa",amfora.wav,"a,o,a",amfora
amiːɡo,"a,miː,ɡo",amigo.wav,"a,i,o",amigo
aːmil,"aː,mil",amil.wav,"a,i",amil
amin,"a,min",amin.wav,"a,i",amin
amin,"a,min",amin.wav,"a,i",âmin
aːmine,"aː,mi,ne",amine.wav,"a,i,e",amine
aːmiɾ,"aː,miɾ",amir.wav,"a,i",amir
amiɾɑl,"a,mi,ɾɑl",amiral.wav,"a,i,ɑ",amiral
aːmiɾaːne,"aː,mi,ɾaː,ne",amirane.wav,"a,i,a,e",amirane
aːmijaːne,"aː,mi,jaː,ne",amiyane.wav,"a,i,a,e",amiyane
ammaː,"am,maː",amma.wav,"a,a",amma
amme,"am,me",amme.wav,"a,e",amme
amoɾti,"a,moɾ,ti",amorti.wav,"a,o,i",amorti
amoɾtisman,"a,moɾ,tis,man",amortisman.wav,"a,o,i,a",amortisman
amoɾtisœɾ,"a,moɾ,ti,sœɾ",amortisor.wav,"a,o,i,œ",amortisör
ampiɾik,"am,pi,ɾik",ampirik.wav,"a,i,i",ampirik
ampuːl,"am,puːl",ampul.wav,"a,u",ampul
amuːdiː,"a,muː,diː",amudi.wav,"a,u,i",amudi
amudufɯkaːɾi,"a,mu,du,fɯ,kaː,ɾi",amudufikari.wav,"a,u,u,ɯ,a,i",amudufıkari
aːn,aːn,an.wav,a,an
anafoɾ,"a,na,foɾ",anafor.wav,"a,a,o",anafor
anaɡɾam,"a,naɡ,ɾam",anagram.wav,"a,a,a",anagram
anahtaɾ,"a,nah,taɾ",anahtar.wav,"a,a,a",anahtar
anakɾonik,"a,nak,ɾo,nik",anakronik.wav,"a,a,o,i",anakronik
anakɾonizm,"a,nak,ɾo,nizm",anakronizm.wav,"a,a,o,i",anakronizm
analitik,"a,na,li,tik",analitik.wav,"a,a,i,i",analitik
anɑɫʒezik,"a,nɑɫ,ʒe,zik",analjezik.wav,"a,ɑ,e,i",analjezik
analoːʒi,"a,na,loː,ʒi",analoji.wav,"a,a,o,i",analoji
anamaɫd͡ʒɯɫɯk,"a,na,maɫ,d͡ʒɯ,ɫɯk",anamalcilik.wav,"a,a,a,ɯ,ɯ",anamalcılık
anane,"a,na,ne",anane.wav,"a,a,e",anane
ananeviː,"a,na,ne,viː",ananevi.wav,"a,a,e,i",ananevi
anaɾʃist,"a,naɾ,ʃist",anarsist.wav,"a,a,i",anarşist
anaɾʃizm,"a,naɾ,ʃizm",anarsizm.wav,"a,a,i",anarşizm
anaːsɯɾ,"a,naː,sɯɾ",anasir.wav,"a,a,ɯ",anasır
anatomi,"a,na,to,mi",anatomi.wav,"a,a,o,i",anatomi
anbean,"an,be,an",anbean.wav,"a,e,a",anbean
anemi,"a,ne,mi",anemi.wav,"a,e,i",anemi
anɡaʒe,"an,ɡa,ʒe",angaje.wav,"a,a,e",angaje
anɡaʒman,"an,ɡaʒ,man",angajman.wav,"a,a,a",angajman
anɡaɾja,"an,ɡaɾ,ja",angarya.wav,"a,a,a",angarya
anɡɫosakson,"anɡ,ɫo,sak,son",anglosakson.wav,"a,o,a,o",anglosakson
ani,"a,ni",ani.wav,"a,i",ani
animasjon,"a,ni,mas,jon",animasyon.wav,"a,i,a,o",animasyon
animatœɾ,"a,ni,ma,tœɾ",animator.wav,"a,i,a,œ",animatör
anʒijo,"an,ʒi,jo",anjiyo.wav,"a,i,o",anjiyo
ankaː,"an,kaː",anka.wav,"a,a",anka
ankaɾa,"an,ka,ɾa",ankara.wav,"a,a,a",ankara
ankastɾe,"an,kast,ɾe",ankastre.wav,"a,a,e",ankastre
ancebuːt,"an,ce,buːt",ankebut.wav,"a,e,u",ankebut
ancetœɾ,"an,ce,tœɾ",anketor.wav,"a,e,œ",anketör
anɫam,"an,ɫam",anlam.wav,"a,a",anlam
anofɛl,"a,no,fɛl",anofel.wav,"a,o,ɛ",anofel
anomali,"a,no,ma,li",anomali.wav,"a,o,a,i",anomali
antɛn,"an,tɛn",anten.wav,"a,ɛ",anten
antet,"an,tet",antet.wav,"a,e",antet
anticite,"an,ti,ci,te",antikite.wav,"a,i,i,e",antikite
antiloːp,"an,ti,loːp",antilop.wav,"a,i,o",antilop
antioksidan,"an,ti,ok,si,dan",antioksidan.wav,"a,i,o,i,a",antioksidan
antipati,"an,ti,pa,ti",antipati.wav,"a,i,a,i",antipati
antipatik,"an,ti,pa,tik",antipatik.wav,"a,i,a,i",antipatik
antisemitizm,"an,ti,se,mi,tizm",antisemitizm.wav,"a,i,e,i,i",antisemitizm
antiseptik,"an,ti,sep,tik",antiseptik.wav,"a,i,e,i",antiseptik
antitez,"an,ti,tez",antitez.wav,"a,i,e",antitez
antoloːʒi,"an,to,loː,ʒi",antoloji.wav,"a,o,o,i",antoloji
antɾenman,"ant,ɾen,man",antrenman.wav,"a,e,a",antrenman
antɾopoloːʒi,"ant,ɾo,po,loː,ʒi",antropoloji.wav,"a,o,o,o,i",antropoloji
antɾpaɾantez,"ant,ɾpa,ɾan,tez",antrparantez.wav,"a,a,a,e",antrparantez
apandis,"a,pan,dis",apandis.wav,"a,a,i",apandis
apandisit,"a,pan,di,sit",apandisit.wav,"a,a,i,i",apandisit
apaɾat,"a,pa,ɾat",aparat.wav,"a,a,a",aparat
apaɾkat,"a,paɾ,kat",aparkat.wav,"a,a,a",aparkat
apaɾtman,"a,paɾt,man",apartman.wav,"a,a,a",apartman
apeɾitif,"a,pe,ɾi,tif",aperitif.wav,"a,e,i,i",aperitif
aplikasjon,"ap,li,kas,jon",aplikasyon.wav,"a,i,a,o",aplikasyon
apolitik,"a,po,li,tik",apolitik.wav,"a,o,i,i",apolitik
apostɾof,"a,post,ɾof",apostrof.wav,"a,o,o",apostrof
apse,"ap,se",apse.wav,"a,e",apse
aptal,"ap,tal",aptal.wav,"a,a",aptal
aɾ,aɾ,ar.wav,a,ar
aɾabɛsk,"a,ɾa,bɛsk",arabesk.wav,"a,a,ɛ",arabesk
aɾabiː,"a,ɾa,biː",arabi.wav,"a,a,i",arabi
aɾabistan,"a,ɾa,bis,tan",arabistan.wav,"a,a,i,a",arabistan
aːɾaːf,"aː,ɾaːf",araf.wav,"a,a",araf
aɾafat,"a,ɾa,fat",arafat.wav,"a,a,a",arafat
aɾanʒman,"a,ɾanʒ,man",aranjman.wav,"a,a,a",aranjman
aɾanʒœɾ,"a,ɾan,ʒœɾ",aranjor.wav,"a,a,œ",aranjör
aɾap,"a,ɾap",arap.wav,"a,a",arap
aɾas,"a,ɾas",aras.wav,"a,a",aras
aɾasat,"a,ɾa,sat",arasat.wav,"a,a,a",arasat
aɾasta,"a,ɾas,ta",arasta.wav,"a,a,a",arasta
aɾaz,"a,ɾaz",araz.wav,"a,a",araz
aɾaz,"a,ɾaz",araz.wav,"a,a",âraz
aɾaːziː,"a,ɾaː,ziː",arazi.wav,"a,a,i",arazi
aɾbede,"aɾ,be,de",arbede.wav,"a,e,e",arbede
aɾboɾetum,"aɾ,bo,ɾe,tum",arboretum.wav,"a,o,e,u",arboretum
aɾda,"aɾ,da",arda.wav,"a,a",arda
aɾdɯʃɯk,"aɾ,dɯ,ʃɯk",ardisik.wav,"a,ɯ,ɯ",ardışık
aɾdije,"aɾ,di,je",ardiye.wav,"a,i,e",ardiye
aːɾiː,"aː,ɾiː",ari.wav,"a,i",ari
aːɾif,"aː,ɾif",arif.wav,"a,i",arif
aːɾifaːne,"aː,ɾi,faː,ne",arifane.wav,"a,i,a,e",arifane
aɾifɛ,"a,ɾi,fɛ",arife.wav,"a,i,ɛ",arife
aɾisto,"a,ɾis,to",aristo.wav,"a,i,o",aristo
aɾistokɾat,"a,ɾis,tok,ɾat",aristokrat.wav,"a,i,o,a",aristokrat
aɾitmetik,"a,ɾit,me,tik",aritmetik.wav,"a,i,e,i",aritmetik
aɾitmi,"a,ɾit,mi",aritmi.wav,"a,i,i",aritmi
aːɾijet,"aː,ɾi,jet",ariyet.wav,"a,i,e",ariyet
aːɾɯz,"aː,ɾɯz",ariz.wav,"a,ɯ",arız
aːɾɯza,"aː,ɾɯ,za",ariza.wav,"a,ɯ,a",arıza
aːɾɯza,"aː,ɾɯ,za",ariza.wav,"a,ɯ,a",ariza
aːɾɯziː,"aː,ɾɯ,ziː",arizi.wav,"a,ɯ,i",arızi
aɾkaik,"aɾ,ka,ik",arkaik.wav,"a,a,i",arkaik
aɾceoloːʒi,"aɾ,ce,o,loː,ʒi",arkeoloji.wav,"a,e,o,o,i",arkeoloji
aɾcetip,"aɾ,ce,tip",arketip.wav,"a,e,i",arketip
aɾktik,"aɾk,tik",arktik.wav,"a,i",arktik
aɾmoni,"aɾ,mo,ni",armoni.wav,"a,o,i",armoni
aɾʃ,aɾʃ,ars.wav,a,arş
aɾʃɯɑːlaːː,"aɾ,ʃɯ,ɑː,laːː",arsiala.wav,"a,ɯ,ɑ,a",arşıâlâ
aɾtɛɾ,"aɾ,tɛɾ",arter.wav,"a,ɛ",arter
aɾtezjɛn,"aɾ,tez,jɛn",artezyen.wav,"a,e,ɛ",artezyen
aɾtɯk,"aɾ,tɯk",artik.wav,"a,ɯ",artık
aɾtɯɾmak,"aɾ,tɯɾ,mak",artirmak.wav,"a,ɯ,a",artırmak
aɾtist,"aɾ,tist",artist.wav,"a,i",artist
aɾuz,"a,ɾuz",aruz.wav,"a,u",aruz
aɾz,aɾz,arz.wav,a,arz
