word;phonetic;ipa;audio_file
Acar;acar;ad͡ʒaɾ;https://sozluk.rtuk.gov.tr/Home/SesKelime/42
acele;acélé;ad͡ʒele;https://sozluk.rtuk.gov.tr/Home/SesKelime/45
acayip;Aca:yip;ad͡ʒaːjip;https://sozluk.rtuk.gov.tr/Home/SesKelime/44
acemaşiran;Acémaşi:ran;ad͡ʒemaʃiːɾan;https://sozluk.rtuk.gov.tr/Home/SesKelime/47
Acem;acém;ad͡ʒem;https://sozluk.rtuk.gov.tr/Home/SesKelime/46
acembuselik;Acémbu:sélik;ad͡ʒembuːselik;https://sozluk.rtuk.gov.tr/Home/SesKelime/48
acente;Acénté;ad͡ʒente;https://sozluk.rtuk.gov.tr/Home/SesKelime/51
acemkürdi;Acémkürdi:;ad͡ʒemcyɾdiː;https://sozluk.rtuk.gov.tr/Home/SesKelime/50
acep;acep;ad͡ʒɛp;https://sozluk.rtuk.gov.tr/Home/SesKelime/52
acemi;acemi:;ad͡ʒɛmiː;https://sozluk.rtuk.gov.tr/Home/SesKelime/49
aceze;Acézé;ad͡ʒeze;https://sozluk.rtuk.gov.tr/Home/SesKelime/53
acil;A:cil;aːd͡ʒil;https://sozluk.rtuk.gov.tr/Home/SesKelime/55
acilen;A:cilen;aːd͡ʒilɛn;https://sozluk.rtuk.gov.tr/Home/SesKelime/56
aciz;A:ciz;aːd͡ʒiz;https://sozluk.rtuk.gov.tr/Home/SesKelime/57
acibe;Aci:bé;ad͡ʒiːbe;https://sozluk.rtuk.gov.tr/Home/SesKelime/54
acizane;A:ciza:né;aːd͡ʒizaːne;https://sozluk.rtuk.gov.tr/Home/SesKelime/58
acul;Acû:l;ad͡ʒuːːl;https://sozluk.rtuk.gov.tr/Home/SesKelime/59
açık öğretim;Açık‿ö:rétim;at͡ʃɯk‿œːɾetim;https://sozluk.rtuk.gov.tr/Home/SesKelime/64
acuze;Acu:zé;ad͡ʒuːze;https://sozluk.rtuk.gov.tr/Home/SesKelime/60
açelya;Açélya;at͡ʃeɫja;https://sozluk.rtuk.gov.tr/Home/SesKelime/62
açık oturum;Açık‿oturum;at͡ʃɯk‿otuɾum;https://sozluk.rtuk.gov.tr/Home/SesKelime/63
acz;Acz;ad͡ʒz;https://sozluk.rtuk.gov.tr/Home/SesKelime/61
ad;ad;ad;https://sozluk.rtuk.gov.tr/Home/SesKelime/65
adap;A:da:p (A:da:bı);aːdaːp;https://sozluk.rtuk.gov.tr/Home/SesKelime/70
adale;Adalé;adale;https://sozluk.rtuk.gov.tr/Home/SesKelime/67
adamcağız;Adamca:z;adamd͡ʒaːz;https://sozluk.rtuk.gov.tr/Home/SesKelime/69
adabımuaşeret;A:da:bımu⁓a:şérét;aːdaːbɯmu‿aːʃeɾet;https://sozluk.rtuk.gov.tr/Home/SesKelime/66
adalet;ada:lét;adaːlet;https://sozluk.rtuk.gov.tr/Home/SesKelime/68
abandone;Abandoné;abandone;https://sozluk.rtuk.gov.tr/Home/SesKelime/7
abajur;abajur;abaʒuɾ;https://sozluk.rtuk.gov.tr/Home/SesKelime/9
Abaza;Abaza;abaza;https://sozluk.rtuk.gov.tr/Home/SesKelime/10
abani;Aba:ni:;abaːniː;https://sozluk.rtuk.gov.tr/Home/SesKelime/6
adaptör;Adaptör;adaptœɾ;https://sozluk.rtuk.gov.tr/Home/SesKelime/72
ademimerkeziyet;Adémimerkéziyét;ademimɛɾcezijet;https://sozluk.rtuk.gov.tr/Home/SesKelime/75
adem;adém;adem;https://sozluk.rtuk.gov.tr/Home/SesKelime/74
adaptasyon;Adaptasyon;adaptasjon;https://sozluk.rtuk.gov.tr/Home/SesKelime/71
addetme;Âddétmé;aːddetme;https://sozluk.rtuk.gov.tr/Home/SesKelime/73
adet;adét;adet;https://sozluk.rtuk.gov.tr/Home/SesKelime/78
adese;adésé;adese;https://sozluk.rtuk.gov.tr/Home/SesKelime/77
Âdem;adém;adem;https://sozluk.rtuk.gov.tr/Home/SesKelime/74
âdet;adét;adet;https://sozluk.rtuk.gov.tr/Home/SesKelime/78
adeta;A:déta:;aːdetaː;https://sozluk.rtuk.gov.tr/Home/SesKelime/80
adi;A:di:;aːdiː;https://sozluk.rtuk.gov.tr/Home/SesKelime/81
adilane;A:dilâ:né;aːdilaːːne;https://sozluk.rtuk.gov.tr/Home/SesKelime/83
adil;‘adi:l;‘adiːl;https://sozluk.rtuk.gov.tr/Home/SesKelime/82
aerodinamik;A⁓érodinamik;a‿eɾodinamik;https://sozluk.rtuk.gov.tr/Home/SesKelime/88
Adilcevaz;A:dilcévaz;aːdiɫd͡ʒevaz;https://sozluk.rtuk.gov.tr/Home/SesKelime/84
Adile;A:dilé;aːdile;https://sozluk.rtuk.gov.tr/Home/SesKelime/85
adli;Adli:;adliː;https://sozluk.rtuk.gov.tr/Home/SesKelime/86
afakan;Afakan;afakan;https://sozluk.rtuk.gov.tr/Home/SesKelime/90
afak;A:fa:k;aːfaːk;https://sozluk.rtuk.gov.tr/Home/SesKelime/89
aerobik;A⁓érobik;a‿eɾobik;https://sozluk.rtuk.gov.tr/Home/SesKelime/87
afetidevran;A:fétidévra:n;aːfetidevɾaːn;https://sozluk.rtuk.gov.tr/Home/SesKelime/96
afat;A:fat;aːfat;https://sozluk.rtuk.gov.tr/Home/SesKelime/92
aferin;A:férin;aːfeɾin;https://sozluk.rtuk.gov.tr/Home/SesKelime/94
afazi;Afazi;afazi;https://sozluk.rtuk.gov.tr/Home/SesKelime/93
afet;a:fét;aːfet;https://sozluk.rtuk.gov.tr/Home/SesKelime/95
afaki;A:fa:ki:;aːfaːciː;https://sozluk.rtuk.gov.tr/Home/SesKelime/91
afif;Afi:f;afiːf;https://sozluk.rtuk.gov.tr/Home/SesKelime/99
afetzede;A:fétzédé;aːfetzede;https://sozluk.rtuk.gov.tr/Home/SesKelime/97
afife;Afi:fé;afiːfe;https://sozluk.rtuk.gov.tr/Home/SesKelime/100
affetmek;Affétmék;affetmek;https://sozluk.rtuk.gov.tr/Home/SesKelime/98
afitab;A:fita:b;aːfitaːb;https://sozluk.rtuk.gov.tr/Home/SesKelime/103
aforizma;Aforizma;afoɾizma;https://sozluk.rtuk.gov.tr/Home/SesKelime/105
afişe;Afişé;afiʃe;https://sozluk.rtuk.gov.tr/Home/SesKelime/102
afiyet;A:fiyét;aːfijet;https://sozluk.rtuk.gov.tr/Home/SesKelime/104
afili;Afili;afili;https://sozluk.rtuk.gov.tr/Home/SesKelime/101
aforoz;Aforoz;afoɾoz;https://sozluk.rtuk.gov.tr/Home/SesKelime/106
agora;Agora;aɡoɾa;https://sozluk.rtuk.gov.tr/Home/SesKelime/110
agnostik;Agnostik;aɡnostik;https://sozluk.rtuk.gov.tr/Home/SesKelime/109
agâh;A:gâ:h;aːɡaːːh;https://sozluk.rtuk.gov.tr/Home/SesKelime/108
afrodizyak;Afrodizyak;afɾodizjak;https://sozluk.rtuk.gov.tr/Home/SesKelime/107
agresif;Agrésif;aɡɾesif;https://sozluk.rtuk.gov.tr/Home/SesKelime/112
ağa;A:;aː;https://sozluk.rtuk.gov.tr/Home/SesKelime/114
agorafobi;Agorafobi;aɡoɾafobi;https://sozluk.rtuk.gov.tr/Home/SesKelime/111
ağaç;A:ç;aːt͡ʃ;https://sozluk.rtuk.gov.tr/Home/SesKelime/116
ağ;a:;aː;https://sozluk.rtuk.gov.tr/Home/SesKelime/113
ağabey;A:béy;aːbej;https://sozluk.rtuk.gov.tr/Home/SesKelime/115
ağda;A:da;aːda;https://sozluk.rtuk.gov.tr/Home/SesKelime/117
ağırlamak;A:rlamak;aːɾɫamak;https://sozluk.rtuk.gov.tr/Home/SesKelime/120
ağlamak;A:lamak;aːɫamak;https://sozluk.rtuk.gov.tr/Home/SesKelime/123
ağıl;A~ıl;a‿ɯl;https://sozluk.rtuk.gov.tr/Home/SesKelime/118
ağrı;a:rı;aːɾɯ;https://sozluk.rtuk.gov.tr/Home/SesKelime/124
ağıt;A:t;aːt;https://sozluk.rtuk.gov.tr/Home/SesKelime/121
ağız;a:z;aːz;https://sozluk.rtuk.gov.tr/Home/SesKelime/122
ağır;a:r;aːɾ;https://sozluk.rtuk.gov.tr/Home/SesKelime/119
ağustos;A⁓ustos;a‿ustos;https://sozluk.rtuk.gov.tr/Home/SesKelime/126
Ağrı;a:rı;aːɾɯ;https://sozluk.rtuk.gov.tr/Home/SesKelime/124
ağyar;A:ya:r;aːjaːɾ;https://sozluk.rtuk.gov.tr/Home/SesKelime/127
ah;a:h;aːh;https://sozluk.rtuk.gov.tr/Home/SesKelime/128
ahali;Aha:li:;ahaːliː;https://sozluk.rtuk.gov.tr/Home/SesKelime/130
ahbap;Ahbap (Ahba:bı);ahbap;https://sozluk.rtuk.gov.tr/Home/SesKelime/131
ah etmek;A:h‿étmék;aːh‿etmek;https://sozluk.rtuk.gov.tr/Home/SesKelime/137
aheste;a:hésté;aːheste;https://sozluk.rtuk.gov.tr/Home/SesKelime/136
ahdetmek;Ahdétmék;ahdetmek;https://sozluk.rtuk.gov.tr/Home/SesKelime/132
ahenk;A:hénk;aːhenk;https://sozluk.rtuk.gov.tr/Home/SesKelime/134
ahenktar;A:hénktar;aːhenktaɾ;https://sozluk.rtuk.gov.tr/Home/SesKelime/135
ahir;A:hir;aːhiɾ;https://sozluk.rtuk.gov.tr/Home/SesKelime/140
Ahi;ahi:;ahiː;https://sozluk.rtuk.gov.tr/Home/SesKelime/138
ahlak;Ahlâk (Ahlâ:k-ı);ahlaːk;https://sozluk.rtuk.gov.tr/Home/SesKelime/144
ahraz;Ahraz;ahɾaz;https://sozluk.rtuk.gov.tr/Home/SesKelime/149
ahkâm;Ahkâ:m;ahcaːːm;https://sozluk.rtuk.gov.tr/Home/SesKelime/143
ahiret;A:hirét;aːhiɾet;https://sozluk.rtuk.gov.tr/Home/SesKelime/141
ahlaki;ahlâ:ki:;ahlaːːciː;https://sozluk.rtuk.gov.tr/Home/SesKelime/147
ahit;ahit;ahit;https://sozluk.rtuk.gov.tr/Home/SesKelime/139
ahize;A:hizé;aːhize;https://sozluk.rtuk.gov.tr/Home/SesKelime/142
ahlaken;Ahlâ:ken;ahlaːːcɛn;https://sozluk.rtuk.gov.tr/Home/SesKelime/145
ahududu;A:hududu;aːhududu;https://sozluk.rtuk.gov.tr/Home/SesKelime/151
ahu;a:hu:;aːhuː;https://sozluk.rtuk.gov.tr/Home/SesKelime/150
ahval;Ahvâl (Ahvâ:l-i);ahvaːl;https://sozluk.rtuk.gov.tr/Home/SesKelime/152
ait;A:⁓it;aː‿it;https://sozluk.rtuk.gov.tr/Home/SesKelime/157
ajans;Ajans;aʒans;https://sozluk.rtuk.gov.tr/Home/SesKelime/159
aidat;A:⁓idat (A:⁓ida:t-ı);aː‿idat;https://sozluk.rtuk.gov.tr/Home/SesKelime/153
ajanda;Ajanda;aʒanda;https://sozluk.rtuk.gov.tr/Home/SesKelime/158
aidiyet;A:⁓idiyét;aː‿idijet;https://sozluk.rtuk.gov.tr/Home/SesKelime/154
ailevi;A:⁓ilévi:;aː‿ileviː;https://sozluk.rtuk.gov.tr/Home/SesKelime/156
ajitasyon;Ajitasyon;aʒitasjon;https://sozluk.rtuk.gov.tr/Home/SesKelime/160
aile;A:⁓ilé;aː‿ile;https://sozluk.rtuk.gov.tr/Home/SesKelime/155
akademisyen;Akadémisyen;akademisjɛn;https://sozluk.rtuk.gov.tr/Home/SesKelime/163
akabinde;Akabindé;akabinde;https://sozluk.rtuk.gov.tr/Home/SesKelime/162
Akabe;Akabé;akabe;https://sozluk.rtuk.gov.tr/Home/SesKelime/161
akamet;aka:met;akaːmɛt;https://sozluk.rtuk.gov.tr/Home/SesKelime/164
Akaretler;Aka:rétler;akaːɾetlɛɾ;https://sozluk.rtuk.gov.tr/Home/SesKelime/165
akik;Aki:k;aciːk;https://sozluk.rtuk.gov.tr/Home/SesKelime/168
akıbet;a:kıbet;aːkɯbɛt;https://sozluk.rtuk.gov.tr/Home/SesKelime/166
akil;A:kil;aːcil;https://sozluk.rtuk.gov.tr/Home/SesKelime/169
akilane;A:kilâ:né;aːcilaːːne;https://sozluk.rtuk.gov.tr/Home/SesKelime/170
akide;a:ki:de;aːciːdɛ;https://sozluk.rtuk.gov.tr/Home/SesKelime/167
akim;Aki:m;aciːm;https://sozluk.rtuk.gov.tr/Home/SesKelime/172
Akile;A:ki:lé;aːciːle;https://sozluk.rtuk.gov.tr/Home/SesKelime/171
akil;A:kil;aːcil;https://sozluk.rtuk.gov.tr/Home/SesKelime/169
akis;akis;acis;https://sozluk.rtuk.gov.tr/Home/SesKelime/173
aklıselim;Aklıséli:m;akɫɯseliːm;https://sozluk.rtuk.gov.tr/Home/SesKelime/176
akort;Akort;akoɾt;https://sozluk.rtuk.gov.tr/Home/SesKelime/180
akordeon;Akordé⁓on;akoɾde‿on;https://sozluk.rtuk.gov.tr/Home/SesKelime/179
akraba;Akraba:;akɾabaː;https://sozluk.rtuk.gov.tr/Home/SesKelime/178
akit;akit;acit;https://sozluk.rtuk.gov.tr/Home/SesKelime/174
akli;Akli:;akliː;https://sozluk.rtuk.gov.tr/Home/SesKelime/177
akreditasyon;Akréditasyon;akɾeditasjon;https://sozluk.rtuk.gov.tr/Home/SesKelime/183
aksam;Aksa:m (Aksa:mı);aksaːm;https://sozluk.rtuk.gov.tr/Home/SesKelime/185
akran;akran;akɾan;https://sozluk.rtuk.gov.tr/Home/SesKelime/182
akrobasi;Akrobasi;akɾobasi;https://sozluk.rtuk.gov.tr/Home/SesKelime/184
aksan;Aksan (Aksa:nı);aksan;https://sozluk.rtuk.gov.tr/Home/SesKelime/186
aksiyoner;Aksiyoner;aksijonɛɾ;https://sozluk.rtuk.gov.tr/Home/SesKelime/191
aksiseda;Aksiséda:;aksisedaː;https://sozluk.rtuk.gov.tr/Home/SesKelime/189
aksi;aksi;aksi;https://sozluk.rtuk.gov.tr/Home/SesKelime/188
aksi;aksi;aksi;https://sozluk.rtuk.gov.tr/Home/SesKelime/188
aksesuar;Aksésu⁓ar;aksesu‿aɾ;https://sozluk.rtuk.gov.tr/Home/SesKelime/187
aktivite;Aktivité;aktivite;https://sozluk.rtuk.gov.tr/Home/SesKelime/194
aktüalite;Aktü⁓alité;akty‿alite;https://sozluk.rtuk.gov.tr/Home/SesKelime/195
aksülamel;Aksülâmel;aksylaːmɛl;https://sozluk.rtuk.gov.tr/Home/SesKelime/192
aktif;aktif;aktif;https://sozluk.rtuk.gov.tr/Home/SesKelime/193
ala;ala;aɫa;https://sozluk.rtuk.gov.tr/Home/SesKelime/200
aktüel;Aktü⁓el;akty‿ɛl;https://sozluk.rtuk.gov.tr/Home/SesKelime/196
akupunktur;Akupunktur;akupunktuɾ;https://sozluk.rtuk.gov.tr/Home/SesKelime/197
akustik;akustik;akustik;https://sozluk.rtuk.gov.tr/Home/SesKelime/198
âlâ;ala;aɫa;https://sozluk.rtuk.gov.tr/Home/SesKelime/200
akvaryum;Akvaryum;akvaɾjum;https://sozluk.rtuk.gov.tr/Home/SesKelime/199
alaimisema;Alâ:⁓imiséma:;alaːː‿imisemaː;https://sozluk.rtuk.gov.tr/Home/SesKelime/206
alabora;Alabora;aɫaboɾa;https://sozluk.rtuk.gov.tr/Home/SesKelime/202
alafranga;Alafıranga;aɫafɯɾanɡa;https://sozluk.rtuk.gov.tr/Home/SesKelime/204
alaka;Alâ:ka;alaːːka;https://sozluk.rtuk.gov.tr/Home/SesKelime/207
alabros;Alabros;aɫabɾos;https://sozluk.rtuk.gov.tr/Home/SesKelime/203
alamet;Alâ:mét;alaːːmet;https://sozluk.rtuk.gov.tr/Home/SesKelime/205
alakadar;Alâ:kadar;alaːːkadaɾ;https://sozluk.rtuk.gov.tr/Home/SesKelime/208
alametifarika;Alâ:métifa:rika;alaːːmetifaːɾika;https://sozluk.rtuk.gov.tr/Home/SesKelime/211
alakart;Alâkart;alaːkaɾt;https://sozluk.rtuk.gov.tr/Home/SesKelime/209
alâ-külli;Alâ:küllişéy’in kadir;alaːːcyɫliʃej’in kadiɾ;https://sozluk.rtuk.gov.tr/Home/SesKelime/210
alarga;Alarga;aɫaɾɡa;https://sozluk.rtuk.gov.tr/Home/SesKelime/213
alaturka;Alaturka;aɫatuɾka;https://sozluk.rtuk.gov.tr/Home/SesKelime/214
alaminüt;Alâminüt;alaːminyt;https://sozluk.rtuk.gov.tr/Home/SesKelime/212
alazlamak;Alazlamak;aɫazɫamak;https://sozluk.rtuk.gov.tr/Home/SesKelime/216
alayiş;A:lâ:yiş;aːlaːːjiʃ;https://sozluk.rtuk.gov.tr/Home/SesKelime/215
alegori;Alégori;aleɡoɾi;https://sozluk.rtuk.gov.tr/Home/SesKelime/218
alelacele;Alélacélé;aleɫad͡ʒele;https://sozluk.rtuk.gov.tr/Home/SesKelime/219
albatros;Albatros;aɫbatɾos;https://sozluk.rtuk.gov.tr/Home/SesKelime/217
alelade;Alélâ:dé;alelaːːde;https://sozluk.rtuk.gov.tr/Home/SesKelime/220
alelekser;Alélékser;aleleksɛɾ;https://sozluk.rtuk.gov.tr/Home/SesKelime/221
alenen;Alénen;alenɛn;https://sozluk.rtuk.gov.tr/Home/SesKelime/230
alelusul;Alélusû:l;aleɫusuːːl;https://sozluk.rtuk.gov.tr/Home/SesKelime/223
alem;a:lém;aːlem;https://sozluk.rtuk.gov.tr/Home/SesKelime/224
alemdar;alemdar;alɛmdaɾ;https://sozluk.rtuk.gov.tr/Home/SesKelime/226
âlem;a:lém;aːlem;https://sozluk.rtuk.gov.tr/Home/SesKelime/224
Alemdar;alemdar;alɛmdaɾ;https://sozluk.rtuk.gov.tr/Home/SesKelime/226
âlemşümul;Â:lémşümûl;aːːlemʃymuːl;https://sozluk.rtuk.gov.tr/Home/SesKelime/229
alelıtlak;Alélıtlak;aleɫɯtɫak;https://sozluk.rtuk.gov.tr/Home/SesKelime/222
aleniyet;Aléniyét;alenijet;https://sozluk.rtuk.gov.tr/Home/SesKelime/232
aleni;Aléni:;aleniː;https://sozluk.rtuk.gov.tr/Home/SesKelime/231
alet edevat;A:lét édévat;aːlet edevat;https://sozluk.rtuk.gov.tr/Home/SesKelime/236
alet;A:lét;aːlet;https://sozluk.rtuk.gov.tr/Home/SesKelime/235
Alevilik;Alévi:lik;aleviːlik;https://sozluk.rtuk.gov.tr/Home/SesKelime/238
aleyhinde;Aléyhindé;alejhinde;https://sozluk.rtuk.gov.tr/Home/SesKelime/239
Alevi;Alévi:;aleviː;https://sozluk.rtuk.gov.tr/Home/SesKelime/237
alesta;Alésta;alesta;https://sozluk.rtuk.gov.tr/Home/SesKelime/234
alessabah;Aléssaba:h;alessabaːh;https://sozluk.rtuk.gov.tr/Home/SesKelime/233
aleykümselam;Aléykümsélâ:m;alejcymselaːːm;https://sozluk.rtuk.gov.tr/Home/SesKelime/241
aleyhtar;Aléyhta:r;alejhtaːɾ;https://sozluk.rtuk.gov.tr/Home/SesKelime/243
aleyhisselam;Aléyhissélâ:m;alejhisselaːːm;https://sozluk.rtuk.gov.tr/Home/SesKelime/240
aleyna;aléyna:;alejnaː;https://sozluk.rtuk.gov.tr/Home/SesKelime/242
alil;Ali:l;aliːl;https://sozluk.rtuk.gov.tr/Home/SesKelime/247
Ali;a:li:;aːliː;https://sozluk.rtuk.gov.tr/Home/SesKelime/244
ali;a:li:;aːliː;https://sozluk.rtuk.gov.tr/Home/SesKelime/244
alfabe;Âlfabé;aːɫfabe;https://sozluk.rtuk.gov.tr/Home/SesKelime/246
alicenap;Â:li:cénap;aːːliːd͡ʒenap;https://sozluk.rtuk.gov.tr/Home/SesKelime/245
âlim;a:lim;aːlim;https://sozluk.rtuk.gov.tr/Home/SesKelime/248
âlimane;A:lima:né;aːlimaːne;https://sozluk.rtuk.gov.tr/Home/SesKelime/250
alimallah;Alimallah;alimaɫɫah;https://sozluk.rtuk.gov.tr/Home/SesKelime/249
Aliye;Aliyé;alije;https://sozluk.rtuk.gov.tr/Home/SesKelime/251
aliyyülâlâ;Aliyyüla:lâ:;alijjyɫaːlaːː;https://sozluk.rtuk.gov.tr/Home/SesKelime/253
alkol;Âlkôl;aːɫcoːl;https://sozluk.rtuk.gov.tr/Home/SesKelime/254
Aliye;Aliyé;alije;https://sozluk.rtuk.gov.tr/Home/SesKelime/251
Allahuekber;Alla:huékber;aɫɫaːhuekbɛɾ;https://sozluk.rtuk.gov.tr/Home/SesKelime/257
allame;Allâ:mé;aɫlaːːme;https://sozluk.rtuk.gov.tr/Home/SesKelime/259
Allahutaala;Alla:hutaa:lâ:;aɫɫaːhutaaːlaːː;https://sozluk.rtuk.gov.tr/Home/SesKelime/258
Allah;Allah (Alla:h-ı);aɫɫah;https://sozluk.rtuk.gov.tr/Home/SesKelime/255
allameicihan;Allâ:me⁓iciha:n;aɫlaːːmɛ‿id͡ʒihaːn;https://sozluk.rtuk.gov.tr/Home/SesKelime/260
Alp;Alp;aɫp;https://sozluk.rtuk.gov.tr/Home/SesKelime/261
Alparslan;Alparslan;aɫpaɾsɫan;https://sozluk.rtuk.gov.tr/Home/SesKelime/262
altmış;Altmış;aɫtmɯʃ;https://sozluk.rtuk.gov.tr/Home/SesKelime/264
alüminyum;Alüminyum;alyminjum;https://sozluk.rtuk.gov.tr/Home/SesKelime/268
alternatif;Âlternatif;aːɫtɛɾnatif;https://sozluk.rtuk.gov.tr/Home/SesKelime/265
alyans;Âlyans;aːɫjans;https://sozluk.rtuk.gov.tr/Home/SesKelime/270
alüvyon;Alüvyon;alyvjon;https://sozluk.rtuk.gov.tr/Home/SesKelime/269
alperen;Alpéren;aɫpeɾɛn;https://sozluk.rtuk.gov.tr/Home/SesKelime/263
alude;A:lû:dé;aːluːːde;https://sozluk.rtuk.gov.tr/Home/SesKelime/266
amade;A:ma:dé;aːmaːde;https://sozluk.rtuk.gov.tr/Home/SesKelime/273
âmâ;ama;ama;https://sozluk.rtuk.gov.tr/Home/SesKelime/271
ama;ama;ama;https://sozluk.rtuk.gov.tr/Home/SesKelime/271
amatör;Amatör;amatœɾ;https://sozluk.rtuk.gov.tr/Home/SesKelime/275
ambalaj;Ambalâj;ambalaːʒ;https://sozluk.rtuk.gov.tr/Home/SesKelime/276
amber;Amber;ambɛɾ;https://sozluk.rtuk.gov.tr/Home/SesKelime/279
amal;A:mâ:l;aːmaːːl;https://sozluk.rtuk.gov.tr/Home/SesKelime/274
ambulans;Ambulâns;ambulaːns;https://sozluk.rtuk.gov.tr/Home/SesKelime/280
ambale;Ambalé;ambale;https://sozluk.rtuk.gov.tr/Home/SesKelime/277
ambargo;Ambargo;ambaɾɡo;https://sozluk.rtuk.gov.tr/Home/SesKelime/278
amel;Amel;amɛl;https://sozluk.rtuk.gov.tr/Home/SesKelime/282
amele;Amélé;amele;https://sozluk.rtuk.gov.tr/Home/SesKelime/283
amcazade;Amcaza:dé;amd͡ʒazaːde;https://sozluk.rtuk.gov.tr/Home/SesKelime/281
ameliyathane;Améliyatha:né;amelijathaːne;https://sozluk.rtuk.gov.tr/Home/SesKelime/286
ameli;Améli:;ameliː;https://sozluk.rtuk.gov.tr/Home/SesKelime/284
Amerika;Amérika;ameɾika;https://sozluk.rtuk.gov.tr/Home/SesKelime/289
amenna;A:ménna:;aːmennaː;https://sozluk.rtuk.gov.tr/Home/SesKelime/287
amentü;A:mentü;aːmɛnty;https://sozluk.rtuk.gov.tr/Home/SesKelime/288
amfora;Amfora;amfoɾa;https://sozluk.rtuk.gov.tr/Home/SesKelime/290
ameliyat;Améliyat (Améliya:t-ı);amelijat;https://sozluk.rtuk.gov.tr/Home/SesKelime/285
amigo;Ami:go;amiːɡo;https://sozluk.rtuk.gov.tr/Home/SesKelime/291
amil;A:mil;aːmil;https://sozluk.rtuk.gov.tr/Home/SesKelime/292
amin;Amin;amin;https://sozluk.rtuk.gov.tr/Home/SesKelime/293
âmin;Amin;amin;https://sozluk.rtuk.gov.tr/Home/SesKelime/293
Amine;A:miné;aːmine;https://sozluk.rtuk.gov.tr/Home/SesKelime/295
amir;a:mir;aːmiɾ;https://sozluk.rtuk.gov.tr/Home/SesKelime/296
amiyane;A:miya:né;aːmijaːne;https://sozluk.rtuk.gov.tr/Home/SesKelime/299
amiral;Amirâl;amiɾaːl;https://sozluk.rtuk.gov.tr/Home/SesKelime/297
amma;Amma:;ammaː;https://sozluk.rtuk.gov.tr/Home/SesKelime/300
amirane;A:mira:né;aːmiɾaːne;https://sozluk.rtuk.gov.tr/Home/SesKelime/298
amme;ammé;amme;https://sozluk.rtuk.gov.tr/Home/SesKelime/302
amorti;Amorti;amoɾti;https://sozluk.rtuk.gov.tr/Home/SesKelime/303
amortisman;Amortisman;amoɾtisman;https://sozluk.rtuk.gov.tr/Home/SesKelime/304
